Patient.ID,Fraction of genome altered
AAPC-STID0000011640-Tumor-SM-2XU1H,0.0104873806578241
AAPC-STID0000021561-Tumor-SM-3RVWB,0.13583060868924
AAPC-STID0000011949-Tumor-SM-2XU1I,0.190096937642333
AAPC-STID0000021610-Tumor-SM-2XU13,0.0542376983511719
AAPC-STID0000021537-Tumor-SM-3RVW7,0.0545513316757125
AAPC-STID0000012110-Tumor-SM-2XU1J,0.0309941610942872
AAPC-STID0000002520-Tumor-SM-2XTZB,0.0141332242404662
AAPC-STID0000015908-Tumor-SM-2XU1U,0.00849765624913765
AAPC-STID0000013409-Tumor-SM-2XU1R,0.0489931121180303
AAPC-STID0000002869-Tumor-SM-2XU51,0.00889672555387613
AAPC-STID0000003057-Tumor-SM-2XTZT,0.0388177215014688
AAPC-STID0000010902-Tumor-SM-2XU1E,0.0511588248944411
AAPC-STID0000008920-Tumor-SM-2XU17,0.00937052647450011
AAPC-STID0000017088-Tumor-SM-2XU1V,0.00979063471732964
AAPC-STID0000009880-Tumor-SM-2XU19,0.0466526426529454
AAPC-IP_LG-073-Tumor-SM-3NC74,0.0734816748588091
AAPC-IP_LG-033-Tumor-SM-3NC6B,0.0470094315744291
AAPC-STID0000012329-Tumor-SM-2XU1L,0.0815175694754452
AAPC-STID0000021598-Tumor-SM-2XTZN,0.0386966678897222
AAPC-IP_LG-019-Tumor-SM-3NC61,0.127424198015859
AAPC-STID0000020508-Tumor-SM-2XU22,0.182934426913449
AAPC-STID0000021588-Tumor-SM-2XU25,0.0567610105476531
AAPC-IP_LG-061-Tumor-SM-3NC6X,0.0582216090312202
AAPC-STID0000021562-Tumor-SM-2XTYT,0.0231599039048335
AAPC-STID0000021530-Tumor-SM-3RVW4,0.0368411994190401
AAPC-STID0000021594-Tumor-SM-3RVWJ,0.070248100507232
AAPC-IP_LG-083-Tumor-SM-3NC7C,0.0653987927970214
AAPC-STID0000011580-Tumor-SM-2XU1G,0.227308067876566
AAPC-STID0000013788-Tumor-SM-2XU1T,0.0176119749140549
AAPC-STID0000021605-Tumor-SM-3RVWN,0.0326169139744168
AAPC-IP_LG-031-Tumor-SM-3NC69,0.181823969949951
AAPC-STID0000021556-Tumor-SM-3RVW9,0.0445984522722481
AAPC-STID0000021571-Tumor-SM-3RVWD,0.0587615818896007
AAPC-STID0000021586-Tumor-SM-2XU24,0.0205969646370072
AAPC-STID0000021614-Tumor-SM-2XU1O,0.0357250903145042
AAPC-IP_LG-021-Tumor-SM-3NC63,0.0532756120371026
AAPC-STID0000008820-Tumor-SM-2XU16,0.007542286152368
AAPC-STID0000010200-Tumor-SM-2XU1A,0.0399393280359131
AAPC-STID0000021551-Tumor-SM-2XTYN,0.176219227134095
AAPC-STID0000021587-Tumor-SM-2XTZD,0.0937531991533671
AAPC-STID0000021604-Tumor-SM-2XTZU,0.0718615653450847
AAPC-STID0000019028-Tumor-SM-2XU1X,0.0328471885680425
AAPC-STID0000021574-Tumor-SM-3RVWF,0.155845558229871
AAPC-STID0000021593-Tumor-SM-2XTZH,0.0923855361982203
AAPC-IP_LG-037-Tumor-SM-3NC6D,0.0872329060833296
AAPC-IP_LG-051-Tumor-SM-3NC6N,0.138085000698764
AAPC-STID0000011381-Tumor-SM-2XU1F,0.0448085482663785
AAPC-STID0000021601-Tumor-SM-2XTZQ,0.0185899784112078
AAPC-STID0000021563-Tumor-SM-2XTYU,0.0373278157749565
AAPC-STID0000021613-Tumor-SM-2XU1K,0.0332679394108737
AAPC-STID0000017668-Tumor-SM-2XU1W,0.0366172003366443
AAPC-STID0000021534-Tumor-SM-2XTYJ,0.0867309042179823
AAPC-IP_LG-053-Tumor-SM-3NC6P,0.0975437485144282
AAPC-IP_LG-091-Tumor-SM-3NC7I,0.203236343249146
AAPC-STID0000021557-Tumor-SM-3RVWA,0.0520303090024543
AAPC-STID0000021596-Tumor-SM-2XTZL,0.0146577078725936
AAPC-STID0000010880-Tumor-SM-2XU1C,0.0706784928922239
AAPC-STID0000021602-Tumor-SM-2XTZR,0.0203520973935882
AAPC-STID0000021590-Tumor-SM-2XTZF,0.0815467069682023
AAPC-STID0000006860-Tumor-SM-2XU12,0.33696951121493
AAPC-STID0000020209-Tumor-SM-2XU21,0.0180297776701623
AAPC-STID0000021577-Tumor-SM-3RVWH,0.125740226273958
AAPC-STID0000021595-Tumor-SM-2XTZK,0.0728163097619269
AAPC-IP_LG-043-Tumor-SM-3NC6F,0.158661834807442
AAPC-IP_LG-059-Tumor-SM-3NC6V,0.0185043290679109
AAPC-IP_LG-085-Tumor-SM-3NC7E,0.0218839640066483
AAPC-STID0000021550-Tumor-SM-2XTYM,0.0285525491943101
AAPC-STID0000021555-Tumor-SM-3RVW8,0.0817794967833324
AAPC-STID0000021599-Tumor-SM-2XTZO,0.0388185373732548
AAPC-STID0000021611-Tumor-SM-2XU18,0.0337981543012121
AAPC-IP_LG-067-Tumor-SM-3NC6Z,0.114285384949312
AAPC-IP_LG-009-Tumor-SM-3NC5W,0.00613057025508653
AAPC-STID0000021597-Tumor-SM-3RVWK,0.0757424156486255
AAPC-STID0000001044-Tumor-SM-2XU23,0.0417387009562445
AAPC-STID0000013388-Tumor-SM-2XU1Q,0.37751911929879
AAPC-STID0000021573-Tumor-SM-2XTYZ,0.165953884793276
AAPC-STID0000003820-Tumor-SM-2XTZW,0.135184933158537
AAPC-STID0000010901-Tumor-SM-2XU1D,0.0508308846101019
AAPC-IP_LG-049-Tumor-SM-3NC6L,0.153385732585125
AAPC-IP_LG-057-Tumor-SM-3NC6T,0.066015331503566
AAPC-IP_LG-047-Tumor-SM-3NC6J,0.0968866497846308
AAPC-IP_LG-077-Tumor-SM-3NC78,0.00789690647478052
AAPC-STID0000012568-Tumor-SM-2XU1M,0.0260105880041214
AAPC-STID0000007180-Tumor-SM-2XU14,0.0469309155807847
AAPC-STID0000021583-Tumor-SM-3RVWI,0.141734064221927
AAPC-IP_LG-069-Tumor-SM-3NC72,0.0886589565486651
AAPC-STID0000012848-Tumor-SM-2XU1N,0.0211543987196831
AAPC-STID0000021564-Tumor-SM-3RVWC,0.0396099527029041
AAPC-IP_LG-045-Tumor-SM-3NC6H,0.139887987604485
AAPC-IP_LG-075-Tumor-SM-3NC76,0.00518547270414925
AAPC-IP_LG-079-Tumor-SM-3NC7A,0.00433416320006689
AAPC-STID0000002909-Tumor-SM-2XTZ4,0.211602271486059
