Tumor_Sample_Barcode,NOTCH1,response
MO_1008,High,1
MO_1012,High,1
MO_1013,Low,1
MO_1014,Low,1
MO_1015,Low,1
MO_1020,Low,1
MO_1040,Low,1
MO_1054,Low,1
MO_1071,Low,1
MO_1074,Low,1
MO_1084,High,1
MO_1094,Low,1
MO_1095,Low,1
MO_1096,Low,1
MO_1114,Low,1
MO_1118,Low,1
MO_1124,Low,1
MO_1128,Low,1
MO_1130,Low,1
MO_1161,High,1
MO_1162,Low,1
MO_1176,High,1
MO_1179,Low,1
MO_1184,Low,1
MO_1192,Low,1
MO_1202,High,1
MO_1215,High,1
MO_1219,High,1
MO_1232,Low,1
MO_1241,Low,1
MO_1244,Low,1
MO_1249,Low,1
MO_1262,Low,1
MO_1277,Low,1
MO_1316,Low,1
MO_1337,Low,1
MO_1339,High,1
MO_1410,Low,1
MO_1421,High,1
MO_1447,High,1
MO_1460,High,1
MO_1473,High,1
PM119,High,1
PM139,Low,1
PM14,Low,1
PM155,Low,1
PM158,Low,1
PM159,Low,1
PM161,High,1
PM163,High,1
PM170,High,1
PM172,High,1
PM189,High,1
PM2,High,1
PM90,High,1
PRAD-06115124-SM-7LGU1,Low,1
PRAD-6115381.0-SM-7LGU3,High,1
PRAD-6115385.0-SM-7LGU7,High,1
PRAD-6115388.0-SM-7LGUA,Low,1
PRAD-6115390.0-SM-7LGUC,Low,1
PRAD-6115391.0-SM-7LGUD,Low,1
PRAD-6115393.0-SM-7LGUF,Low,1
PRAD-6115395.0-SM-7LGUH,Low,1
PRAD-6115396.0-SM-7LGUI,Low,1
PRAD-6115397.0-SM-7LGUJ,Low,1
PRAD-6115398.0-SM-7LGUK,High,1
PRAD-6115399.0-SM-7LGUL,Low,1
PRAD-6115400.0-SM-7LGUM,Low,1
PRAD-6115402.0-SM-7LGUP,Low,1
PRAD-DFCI.11-104.15-SM-3S2HH,Low,1
PROS01448-1115161-SM-5SGU1,Low,1
PROS01448-1115183-SM-5SGU3,High,1
PROS01448-1115202-SM-5SGU5,Low,1
PROS01448-1115244-SM-5SGU6,High,1
PROS01448-6115219-SM-67ERS,High,1
PROS01448-6115224-SM-67ERT,Low,1
PROS01448-6115227-SM-67ERU,Low,1
PROS01448-6115233-SM-67ERW,Low,1
PROS01448-6115234-SM-67ERX,High,1
PROS01448-6115235-SM-67ERY,Low,1
PROS01448-6115237-SM-67ERZ,High,1
PROS01448-6115242-SM-67ES1,Low,1
PROS01448-6115247-SM-67ES2,Low,1
PROS01448-6115251-SM-67ES6,High,1
PROS10448-1115150-SM-5EEBK,Low,1
PROS10448-1115154-SM-5EEBM,High,1
PROS10448-1115156-SM-5EEBN,Low,1
PROS10448-1115157-SM-5EEBO,High,1
PROS12319B-SU2C-06115114-SM-4W2N9,High,1
PROS12319B-SU2C-06115115-SM-4W2NA,High,1
PROS12319B-SU2C-06115116-SM-4W2NB,High,1
PROS12319B-SU2C-06115117-SM-4W2NC,Low,1
PROS12319B-SU2C-06115118-SM-4W2ND,Low,1
PROS12319B-SU2C-06115119-SM-4W2NE,Low,1
PROS12319B-SU2C-06115121-SM-4W2NG,Low,1
PROS12319B-SU2C-06115122-SM-4W2NH,Low,1
PROS12319B-SU2C-06115123-SM-4W2NI,Low,1
SC_9001,Low,1
SC_9007,Low,1
SC_9008,High,1
SC_9010,Low,1
SC_9011,Low,1
SC_9012,Low,1
SC_9016,High,1
SC_9017,Low,1
SC_9018,Low,1
SC_9019,Low,1
SC_9021,Low,1
SC_9022,Low,1
SC_9023,Low,1
SC_9024,Low,1
SC_9026,High,1
SC_9027,High,1
SC_9028,Low,1
SC_9029,Low,1
SC_9030,Low,1
SC_9031,Low,1
SC_9032,Low,1
SC_9034,High,1
SC_9035,Low,1
SC_9036,Low,1
SC_9038,Low,1
SC_9039,Low,1
SC_9043,Low,1
SC_9046,High,1
SC_9047,High,1
SC_9048,High,1
SC_9049,Low,1
SC_9054,High,1
SC_9055,Low,1
SC_9056,High,1
SC_9058,High,1
SC_9059,High,1
SC_9060,Low,1
SC_9061,High,1
SC_9063,Low,1
SC_9065,High,1
SC_9068,High,1
SC_9071,Low,1
SC_9072,High,1
SC_9073,High,1
SC_9076,Low,1
SC_9080,Low,1
SC_9081,Low,1
SC_9082,High,1
SC_9083,High,1
SC_9084,Low,1
SC_9086,High,1
SC_9090,High,1
SC_9091,High,1
SC_9092,Low,1
SC_9093,High,1
SC_9094,High,1
SC_9096,High,1
SC_9097,High,1
SC_9099,High,1
SC_9100,High,1
SC_9103,Low,1
SC_9104,Low,1
SC_9105,Low,1
SC_9107,Low,1
SC_9109,Low,1
SC_9118,High,1
SC_9121,High,1
SC_9123,Low,1
SC_9124,High,1
SC_9126,Low,1
SC_9129,High,1
SC_9132,High,1
SC_9136,High,1
SC_9137,Low,1
SC_9138,High,1
SC_9139,High,1
SC_9140,Low,1
SC_9141,High,1
SC_9142,Low,1
SC_9144,High,1
SC_9145,Low,1
SC_9148,Low,1
SC_9150,High,1
SC_9151,Low,1
SC_9153,High,1
SC_9156,Low,1
SC_9158,High,1
SC_9162,Low,1
SC_9163,Low,1
SC_9165,Low,1
SC_9171,Low,1
SC_9172,High,1
SC_9173,Low,1
SI_9157,Low,1
TCGA-2A-A8VL,Low,0
TCGA-2A-A8VO,Low,0
TCGA-2A-A8VT,Low,0
TCGA-2A-A8VV,Low,0
TCGA-2A-A8VX,Low,0
TCGA-2A-A8W1,Low,0
TCGA-2A-A8W3,Low,0
TCGA-2A-AAYF,Low,0
TCGA-2A-AAYO,Low,0
TCGA-2A-AAYU,Low,0
TCGA-4L-AA1F,Low,0
TCGA-CH-5737,Low,0
TCGA-CH-5738,Low,0
TCGA-CH-5739,Low,0
TCGA-CH-5740,Low,0
TCGA-CH-5741,Low,0
TCGA-CH-5744,Low,0
TCGA-CH-5745,Low,0
TCGA-CH-5746,Low,0
TCGA-CH-5748,Low,0
TCGA-CH-5750,Low,0
TCGA-CH-5751,Low,0
TCGA-CH-5752,Low,0
TCGA-CH-5753,High,0
TCGA-CH-5754,Low,0
TCGA-CH-5761,Low,0
TCGA-CH-5762,Low,0
TCGA-CH-5763,Low,0
TCGA-CH-5764,Low,0
TCGA-CH-5765,Low,0
TCGA-CH-5766,Low,0
TCGA-CH-5767,Low,0
TCGA-CH-5768,Low,0
TCGA-CH-5769,Low,0
TCGA-CH-5771,High,0
TCGA-CH-5772,Low,0
TCGA-CH-5788,Low,0
TCGA-CH-5789,Low,0
TCGA-CH-5790,Low,0
TCGA-CH-5791,High,0
TCGA-CH-5792,Low,0
TCGA-CH-5794,Low,0
TCGA-EJ-5494,Low,0
TCGA-EJ-5495,High,0
TCGA-EJ-5496,High,0
TCGA-EJ-5498,Low,0
TCGA-EJ-5499,Low,0
TCGA-EJ-5501,Low,0
TCGA-EJ-5502,Low,0
TCGA-EJ-5503,Low,0
TCGA-EJ-5504,Low,0
TCGA-EJ-5505,Low,0
TCGA-EJ-5506,Low,0
TCGA-EJ-5507,Low,0
TCGA-EJ-5508,Low,0
TCGA-EJ-5509,Low,0
TCGA-EJ-5510,Low,0
TCGA-EJ-5511,Low,0
TCGA-EJ-5512,Low,0
TCGA-EJ-5514,Low,0
TCGA-EJ-5515,Low,0
TCGA-EJ-5516,Low,0
TCGA-EJ-5517,Low,0
TCGA-EJ-5518,Low,0
TCGA-EJ-5519,Low,0
TCGA-EJ-5521,Low,0
TCGA-EJ-5522,Low,0
TCGA-EJ-5524,Low,0
TCGA-EJ-5525,Low,0
TCGA-EJ-5526,High,0
TCGA-EJ-5527,Low,0
TCGA-EJ-5530,Low,0
TCGA-EJ-5531,Low,0
TCGA-EJ-5532,Low,0
