Tumor_Sample_Barcode,fusion_indicator
TCGA-EJ-5499,1
MO_1012,0
TCGA-CH-5752,1
SC_9126,0
PROS01448-6115227-SM-67ERU,0
SC_9165,0
TCGA-XK-AAIW,0
TCGA-YL-A8SH,0
SC_9162,1
TCGA-HI-7171,1
TCGA-QU-A6IM,0
SC_9163,1
TCGA-KK-A6E1,1
TCGA-HC-7210,0
TCGA-V1-A9OL,0
TCGA-V1-A9OX,0
TCGA-J4-A67R,1
SC_9061,1
PROS01448-6115235-SM-67ERY,0
TCGA-XJ-A9DQ,1
SC_9056,1
MO_1410,1
TP_2001,1
SC_9094,0
SC_9132,1
SC_9008,0
SC_9072,0
PROS12319B-SU2C-06115118-SM-4W2ND,1
SC_9123,0
SC_9138,0
TCGA-HC-7077,1
TCGA-G9-6361,1
SC_9027,1
TCGA-H9-A6BY,1
PRAD-6115395.0-SM-7LGUH,1
TCGA-EJ-5521,1
SC_9047,0
TCGA-CH-5761,0
PRAD-6115399.0-SM-7LGUL,0
SC_9038,0
PRAD-6115385.0-SM-7LGU7,0
TCGA-J9-A52C,0
TCGA-KC-A7FD,1
SC_9022,1
TCGA-YL-A8SR,0
PM189,0
TCGA-KC-A4BL,0
TCGA-HC-7750,0
TCGA-KK-A6E4,1
TCGA-KK-A7B1,1
SC_9010,1
TCGA-EJ-7788,1
SC_9171,0
TCGA-YL-A8SA,1
TCGA-KK-A8IC,1
SC_9036,0
TCGA-G9-7525,1
MO_1232,0
SC_9081,0
SC_9172,1
PROS12319B-SU2C-06115122-SM-4W2NH,1
SC_9076,0
TCGA-XQ-A8TB,1
SC_9026,1
SC_9032,0
TCGA-XJ-A83F,1
TCGA-EJ-7791,0
TCGA-XQ-A8TA,0
MO_1014,0
TCGA-ZG-A9NI,0
SC_9140,0
MO_1084,1
SC_9099,1
SC_9121,0
TCGA-V1-A8MG,0
TCGA-EJ-7782,0
TCGA-KK-A59V,0
TCGA-YL-A9WI,0
TCGA-YL-A8HO,0
SC_9144,0
TCGA-2A-A8VL,1
PROS12319B-SU2C-06115119-SM-4W2NE,0
TCGA-CH-5754,1
TCGA-J4-A83J,1
TCGA-KC-A7F3,0
SC_9100,0
SC_9030,0
PROS01448-6115242-SM-67ES1,0
TCGA-Y6-A9XI,0
TCGA-CH-5772,0
TCGA-KK-A8IJ,0
TCGA-EJ-5524,1
SC_9086,1
TCGA-YL-A9WH,0
MO_1040,1
MO_1447,1
TCGA-EJ-5518,0
TCGA-V1-A9O5,1
TCGA-EJ-5519,0
SC_9071,1
TCGA-ZG-A9LZ,1
TCGA-EJ-5498,1
TCGA-HC-7742,0
TCGA-EJ-7783,1
TCGA-EJ-A8FO,1
SC_9090,0
TP_2077,1
TCGA-HC-A6AO,0
SC_9156,0
SC_9105,1
TCGA-G9-6378,0
SC_9118,1
SC_9096,0
TCGA-TK-A8OK,0
SI_9157,0
SC_9001,0
SC_9046,1
SC_9141,0
SC_9028,0
SC_9073,0
TCGA-G9-7522,1
SC_9109,1
TP_2064,0
TCGA-V1-A9ZI,0
TCGA-EJ-5503,1
PM155,0
TCGA-EJ-A65F,1
SC_9007,0
SC_9016,1
TCGA-EJ-5527,1
TCGA-CH-5739,1
TCGA-YL-A8HJ,1
PM2,0
