hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit-trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids
HGNC:22	AAVS1	adeno-associated virus integration site 1	other	virus integration site	Approved	19q13	19q13	AAV						1990-09-10			2010-06-16	17				S51329				1334463					102699																	
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	other	readthrough	Approved	3p21.2	03p21.2				ABHD14A-ACY1 readthrough (NMD candidate)			2011-05-31		2015-10-15	2015-10-16	100526760	ENSG00000114786	OTTHUMG00000166447	uc062kji.1		NM_001316331					RGD:2030																				
HGNC:229	ADCP1	adenosine deaminase complexing protein 1	other	unknown	Approved	6	06							1986-01-01			2012-04-19	106								"279003|6933468|6974523"																						
HGNC:29421	AGAP11	ArfGAP with GTPase domain, ankyrin repeat and PH domain 11	other	unknown	Approved	10q23.2	10q23.2	KIAA1975			ankyrin repeat and GTPase domain Arf GTPase activating protein 11	"ArfGAPs|Ankyrin repeat domain containing|BAR-PH domain containing"	"395|403|1291"	2008-09-22		2015-11-17	2015-11-17	119385	ENSG00000271880	OTTHUMG00000185463	uc057urd.1		NM_133447		Q8TF27	11853319																						
HGNC:466	AMLCR2	acute myeloid leukemia chromosome region 2	other	region	Approved	16q22	16q22							1999-12-15			2010-04-15	9163								9382098																						
HGNC:482	ANCR	Angelman syndrome chromosome region	other	region	Approved	15q11-q12	15q11-q12							1989-05-01			2006-04-27	282																														
HGNC:33530	ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3 readthrough	other	readthrough	Approved	5q31.3	05q31.3	MASK-BP3						2007-07-31			2014-11-19	404734	ENSG00000254996	OTTHUMG00000166212	uc003lfs.3	AF521883	NM_020690	CCDS4224		"16297570|14557257"	MGI:1921733			ANKHD1-EIF4EBP3																		
HGNC:23666	ANKRD20A8P	ankyrin repeat domain 20 family member A8, pseudogene	other	unknown	Approved	2q11.1	02q11.1			ANKRD20B	"ankyrin repeat domain 20B|ankyrin repeat domain 20 family, member A8, pseudogene"			2004-07-09	2010-12-15	2015-11-18	2017-11-28	729171	ENSG00000229089	OTTHUMG00000155138			NR_003366		Q5CZ79												PGOHUM00000240189											
HGNC:42393	ANKRD62P1-PARP4P3	ANKRD62P1-PARP4P3 readthrough, transcribed pseudogene	other	readthrough	Approved	22q11.1	22q11.1	VWFP1-ANKRD62P1-PARP4P3			ANKRD62P1-PARP4P3 readthrough (non-protein coding)			2011-07-07		2013-04-23	2015-07-30	23783	ENSG00000189295	OTTHUMG00000186061	uc062bfe.1		NR_040115																									
HGNC:32248	ANO7L1	anoctamin 7 like 1	other	unknown	Approved	1p36.13	01p36.13			"TMEM16M|C1orf224|ANO7P1"	"transmembrane protein 16M|chromosome 1 open reading frame 224|anoctamin 7 pseudogene 1"			2005-09-21	2016-07-19	2016-07-19	2016-07-19	101927546	ENSG00000237276	OTTHUMG00000002221			XM_017003078														PGOHUM00000243911											
HGNC:16675	ANP32C	acidic nuclear phosphoprotein 32 family member C	other	unknown	Approved	4q32.3	04q32.3	PP32R1			acidic (leucine-rich) nuclear phosphoprotein 32 family, member C	ANP32 acidic nuclear phosphoproteins	27	2002-02-13		2015-11-05	2015-11-05	23520	ENSG00000248546	OTTHUMG00000161205		AF008216	NM_012403		O43423	"10086381|10400610"				ANP32C	606877																	
